articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2015,3,3,df,0,MATCH,NA
-2015,194,194,df,0,MATCH,NA
-2015,24.1,24.1,F,0,MATCH,NA
-2015,<.001,2.6654735952956544e-13,p,NA,MATCH,TRUE
-2015,0.27,0.27,other,0,MATCH,NA
-2015,3,3,df,0,MATCH,NA
-2015,194,194,df,0,MATCH,NA
-2015,16.28,16.28,F,0,MATCH,NA
-2015,<.001,1.7654978059796972e-9,p,NA,MATCH,TRUE
-2015,0.2,0.2,other,0,MATCH,NA
-2015,<.001,7.228649516348554e-5,p,NA,MATCH,TRUE
-2015,0.28,0.28,other,0,MATCH,NA
-2015,0.001,0.001,p,0,MATCH,NA
-2015,0.2,0.2,other,0,MATCH,NA
-2015,0.053,0.053,p,0,MATCH,NA
-2015,0.08,0.08,other,0,MATCH,NA
-2015,<.001,3.0521160288196343e-4,p,NA,MATCH,TRUE
-2015,0.24,0.24,other,0,MATCH,NA
